kind,.pred_AI,.pred_class,detector,native,name,model,document_id,prompt
Human,0.000332299,Human,OriginalityAI,Yes,Real CS224N,Human,740,NA
AI,0.191216752,Human,HFOpenAI,NA,Fake TOEFL - GPT4 - PE,GPT4,308,Enhance like native
AI,0.027665699,Human,HFOpenAI,NA,US 8th grade essay - GPT simplify,GPT4,92,Simplify like non-native
AI,7.08E-05,Human,OriginalityAI,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,202,Elevate using literary
AI,0.000656477,Human,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,257,Enhance like native
AI,2.59E-13,Human,GPTZero,NA,US 8th grade essay - GPT simplify,GPT4,162,Simplify like non-native
AI,0,Human,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,207,Enhance like native
AI,0.000450527,Human,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,600,Elevate using technical
Human,0,Human,ZeroGPT,Yes,Real College Essays,Human,470,NA
Human,0.125,Human,ZeroGPT,Yes,Real CS224N,Human,785,NA
AI,0.9813,AI,OriginalityAI,NA,US 8th grade essay - GPT simplify,GPT4,160,Simplify like non-native
Human,0.000180906,Human,Crossplag,Yes,Real College Essays,Human,273,NA
AI,0.000319035,Human,HFOpenAI,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,66,Elevate using literary
AI,0.004087193,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,582,Elevate using technical
Human,2.59E-13,Human,GPTZero,Yes,Real CS224N,Human,880,NA
Human,0,Human,ZeroGPT,Yes,US 8th grade essay,Human,157,NA
AI,0.805804312,AI,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,517,Elevate using technical
Human,0.625,AI,ZeroGPT,Yes,Real College Essays,Human,273,NA
Human,0.000168349,Human,Crossplag,Yes,Real CS224N,Human,767,NA
AI,0.000204533,Human,Crossplag,NA,US 8th grade essay - GPT simplify,GPT4,121,Simplify like non-native
Human,0.008748993,Human,Crossplag,No,Real TOEFL,Human,293,NA
Human,0.900023467,AI,GPTZero,No,Real TOEFL,Human,543,NA
AI,0.999687076,AI,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,25,Plain
AI,0.9997,AI,OriginalityAI,NA,US 8th grade essay - GPT simplify,GPT4,166,Simplify like non-native
AI,0.000168367,Human,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,465,Elevate using technical
AI,0,Human,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,339,Enhance like native
AI,0.032747805,Human,Quil,NA,Fake TOEFL - GPT4 - PE,GPT4,256,Enhance like native
AI,0.875,AI,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,34,Plain
AI,0.000187457,Human,Quil,NA,Fake CS224N - GPT3,GPT3,706,Plain
AI,0.000177223,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,719,Elevate using technical
AI,0.005743397,Human,Crossplag,NA,Fake CS224N - GPT3,GPT3,589,Plain
AI,0.000375965,Human,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,706,Plain
Human,0.999989031,AI,Sapling,No,Real TOEFL,Human,280,NA
Human,0.966256261,AI,Quil,Yes,US 8th grade essay,Human,142,NA
AI,0.000188868,Human,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,57,Elevate using technical
AI,1,AI,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,670,Plain
AI,0.003404277,Human,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,708,Plain
AI,0.925782271,AI,GPTZero,NA,US 8th grade essay - GPT simplify,GPT4,233,Simplify like non-native
AI,0.692841113,AI,Crossplag,NA,Fake CS224N - GPT3,GPT3,15,Plain
Human,0.786747456,AI,HFOpenAI,No,Real TOEFL,Human,371,NA
AI,0.9956,AI,OriginalityAI,NA,US 8th grade essay - GPT simplify,GPT4,447,Simplify like non-native
Human,0.016285593,Human,Crossplag,Yes,Real CS224N,Human,828,NA
AI,0.00908317,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,504,Elevate using technical
Human,1.04E-12,Human,GPTZero,Yes,Real CS224N,Human,798,NA
AI,0.000197525,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,621,Elevate using technical
AI,0.991457045,AI,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,504,Elevate using technical
Human,0.999190629,AI,Quil,No,Real TOEFL,Human,296,NA
AI,0.99981457,AI,Quil,NA,Fake College Essays - GPT3,GPT3,439,Plain
Human,0.000169872,Human,Crossplag,Yes,Real CS224N,Human,772,NA
AI,0.032543067,Human,Crossplag,NA,US 8th grade essay - GPT simplify,GPT4,155,Simplify like non-native
AI,0,Human,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,683,Plain
AI,0.997001708,AI,Crossplag,NA,Fake CS224N - GPT3,GPT3,634,Plain
AI,0.000678725,Human,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,363,Enhance like native
AI,0.008811826,Human,HFOpenAI,NA,Fake TOEFL - GPT4 - PE,GPT4,471,Enhance like native
AI,0.887165174,AI,GPTZero,NA,Fake CS224N - GPT3,GPT3,30,Plain
AI,0.033965637,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,578,Elevate using technical
AI,0.870862748,AI,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,245,Enhance like native
AI,1,AI,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,458,Enhance like native
AI,0.010734144,Human,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,208,Enhance like native
AI,0.980225623,AI,Quil,NA,US 8th grade essay - GPT simplify,GPT4,134,Simplify like non-native
AI,0.97925204,AI,Quil,NA,Fake CS224N - GPT3,GPT3,38,Plain
Human,3.00E-04,Human,OriginalityAI,Yes,US 8th grade essay,Human,143,NA
Human,0.000208676,Human,Quil,Yes,US 8th grade essay,Human,98,NA
AI,0.313908398,Human,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,620,Plain
AI,0.000174256,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,443,Elevate using technical
AI,0.000198662,Human,Quil,NA,US 8th grade essay - GPT simplify,GPT4,123,Simplify like non-native
Human,0.125,Human,ZeroGPT,Yes,Real College Essays,Human,919,NA
Human,0.435538935,Human,GPTZero,No,Real TOEFL,Human,329,NA
Human,0.999999545,AI,Sapling,No,Real TOEFL,Human,345,NA
Human,0.000185508,Human,HFOpenAI,Yes,Real College Essays,Human,348,NA
AI,0.008727491,Human,Quil,NA,Fake CS224N - GPT3,GPT3,700,Plain
AI,0.927474678,AI,HFOpenAI,NA,US 8th grade essay - GPT simplify,GPT4,162,Simplify like non-native
AI,0.999999501,AI,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,699,Elevate using technical
Human,6.61E-09,Human,GPTZero,Yes,Real College Essays,Human,909,NA
Human,0.5,Human,ZeroGPT,No,Real TOEFL,Human,301,NA
AI,2.50E-06,Human,Sapling,NA,Fake CS224N - GPT3,GPT3,703,Plain
AI,0.021056494,Human,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,560,Elevate using technical
AI,0.34983936,Human,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,664,Elevate using technical
AI,0,Human,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,645,Elevate using technical
AI,0.002292534,Human,Crossplag,NA,US 8th grade essay - GPT simplify,GPT4,118,Simplify like non-native
AI,0.000306936,Human,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,648,Elevate using technical
AI,0.000356772,Human,GPTZero,NA,Fake CS224N - GPT3,GPT3,9,Plain
AI,0.999781549,AI,HFOpenAI,NA,Fake College Essays - GPT3,GPT3,487,Plain
AI,2.12E-06,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,527,Elevate using technical
AI,0.000100059,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,719,Elevate using technical
AI,0.066969268,Human,HFOpenAI,NA,Fake College Essays - GPT3,GPT3,893,Plain
AI,0.000171944,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,714,Elevate using technical
AI,0.760402243,AI,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,52,Enhance like native
Human,1.47E-05,Human,GPTZero,Yes,Real CS224N,Human,771,NA
Human,0.922075868,AI,HFOpenAI,No,Real TOEFL,Human,332,NA
AI,0,Human,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,498,Elevate using technical
AI,0,Human,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,618,Elevate using technical
AI,0.971260726,AI,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,694,Elevate using technical
AI,5.95E-05,Human,OriginalityAI,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,63,Elevate using literary
Human,0.000518409,Human,Sapling,Yes,Real College Essays,Human,485,NA
AI,0.00108677,Human,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,271,Enhance like native
AI,0.9873,AI,OriginalityAI,NA,US 8th grade essay - GPT simplify,GPT4,172,Simplify like non-native
AI,0.999324918,AI,HFOpenAI,NA,Fake College Essays - GPT3,GPT3,541,Plain
AI,0,Human,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,923,Enhance like native
Human,2.12E-06,Human,GPTZero,Yes,Real CS224N,Human,819,NA
Human,0.000172138,Human,Quil,Yes,US 8th grade essay,Human,108,NA
Human,7.82E-05,Human,Sapling,Yes,Real College Essays,Human,424,NA
Human,0.75,AI,ZeroGPT,No,Real TOEFL,Human,322,NA
AI,0.000656477,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,528,Elevate using technical
Human,0.004294804,Human,OriginalityAI,Yes,Real College Essays,Human,347,NA
AI,1.47E-05,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,463,Elevate using technical
AI,1,AI,ZeroGPT,NA,Fake College Essays - GPT3,GPT3,903,Plain
Human,5.00E-04,Human,OriginalityAI,Yes,US 8th grade essay,Human,101,NA
AI,0.999999579,AI,Sapling,NA,Fake CS224N - GPT3,GPT3,32,Plain
AI,0.000202413,Human,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,479,Elevate using technical
AI,0,Human,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,576,Plain
Human,0.999999591,AI,Sapling,No,Real TOEFL,Human,371,NA
AI,0.007655497,Human,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,20,Plain
Human,0.92191869,AI,Quil,No,Real TOEFL,Human,899,NA
AI,0.25,Human,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,620,Plain
Human,0.006283932,Human,GPTZero,Yes,Real CS224N,Human,785,NA
AI,0.000100059,Human,GPTZero,NA,Fake CS224N - GPT3,GPT3,32,Plain
Human,0.000325673,Human,Crossplag,Yes,US 8th grade essay,Human,165,NA
Human,0,Human,ZeroGPT,Yes,US 8th grade essay,Human,97,NA
Human,0.844769597,AI,OriginalityAI,No,Real TOEFL,Human,415,NA
Human,0,Human,ZeroGPT,Yes,Real CS224N,Human,758,NA
Human,9.29E-07,Human,Sapling,Yes,Real College Essays,Human,446,NA
AI,0.000196343,Human,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,622,Elevate using technical
Human,0.125,Human,ZeroGPT,Yes,US 8th grade essay,Human,886,NA
AI,0.999739468,AI,HFOpenAI,NA,Fake College Essays - GPT3,GPT3,537,Plain
Human,0,Human,ZeroGPT,Yes,Real College Essays,Human,388,NA
Human,1.81E-06,Human,Sapling,No,Real TOEFL,Human,546,NA
AI,0.067885065,Human,GPTZero,NA,Fake CS224N - GPT3,GPT3,708,Plain
AI,0.926398814,AI,Quil,NA,Fake CS224N - GPT3,GPT3,604,Plain
AI,0.001564673,Human,HFOpenAI,NA,Fake TOEFL - GPT4 - PE,GPT4,265,Enhance like native
AI,5.37E-05,Human,GPTZero,NA,US 8th grade essay - GPT simplify,GPT4,229,Simplify like non-native
Human,0,Human,ZeroGPT,Yes,Real CS224N,Human,840,NA
Human,0.000172913,Human,Quil,Yes,Real College Essays,Human,47,NA
AI,0,Human,ZeroGPT,NA,US 8th grade essay - GPT simplify,GPT4,124,Simplify like non-native
Human,0.911887884,AI,Crossplag,No,Real TOEFL,Human,495,NA
AI,0.006283932,Human,GPTZero,NA,Fake CS224N - GPT3,GPT3,452,Plain
Human,0.000188768,Human,Quil,Yes,Real College Essays,Human,396,NA
AI,0.999562681,AI,Crossplag,NA,Fake CS224N - GPT3,GPT3,566,Plain
AI,0.000656477,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,709,Elevate using technical
Human,0.977563441,AI,OriginalityAI,No,Real TOEFL,Human,249,NA
AI,0.25,Human,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,429,Enhance like native
AI,0,Human,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,552,Elevate using technical
Human,0.000184401,Human,Crossplag,Yes,Real CS224N,Human,857,NA
AI,0.872903228,AI,Crossplag,NA,US 8th grade essay - GPT simplify,GPT4,114,Simplify like non-native
AI,0.00149708,Human,HFOpenAI,NA,Fake TOEFL - GPT4 - PE,GPT4,914,Enhance like native
Human,0.029229432,Human,HFOpenAI,Yes,Real CS224N,Human,749,NA
Human,0,Human,ZeroGPT,Yes,US 8th grade essay,Human,174,NA
AI,0.072112523,Human,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,493,Plain
AI,0.999943029,AI,Sapling,NA,Fake College Essays - GPT3,GPT3,422,Plain
AI,0.558431149,AI,Crossplag,NA,US 8th grade essay - GPT simplify,GPT4,103,Simplify like non-native
Human,0,Human,ZeroGPT,Yes,Real College Essays,Human,281,NA
Human,0.000170154,Human,HFOpenAI,Yes,US 8th grade essay,Human,104,NA
AI,0.999827385,AI,Quil,NA,US 8th grade essay - GPT simplify,GPT4,406,Simplify like non-native
AI,0.998,AI,OriginalityAI,NA,US 8th grade essay - GPT simplify,GPT4,197,Simplify like non-native
AI,0.000221645,Human,Crossplag,NA,US 8th grade essay - GPT simplify,GPT4,161,Simplify like non-native
Human,0.000991407,Human,HFOpenAI,Yes,Real CS224N,Human,822,NA
AI,0.000383068,Human,Crossplag,NA,Fake TOEFL - GPT4 - PE,GPT4,291,Enhance like native
AI,0.000290681,Human,Crossplag,NA,US 8th grade essay - GPT simplify,GPT4,123,Simplify like non-native
AI,0,Human,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,728,Elevate using technical
Human,0.000580055,Human,Crossplag,Yes,US 8th grade essay,Human,97,NA
Human,0,Human,ZeroGPT,Yes,Real College Essays,Human,405,NA
AI,1.47E-05,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,711,Elevate using technical
Human,0.499513775,Human,Crossplag,No,Real TOEFL,Human,196,NA
Human,0,Human,ZeroGPT,Yes,Real CS224N,Human,761,NA
Human,0.75,AI,ZeroGPT,No,Real TOEFL,Human,899,NA
Human,0.116017703,Human,GPTZero,No,Real TOEFL,Human,322,NA
Human,0,Human,ZeroGPT,Yes,US 8th grade essay,Human,112,NA
AI,0.875,AI,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,283,Enhance like native
AI,0.1233356,Human,Quil,NA,Fake CS224N - GPT3,GPT3,384,Plain
Human,0.000302161,Human,OriginalityAI,Yes,Real CS224N,Human,832,NA
AI,0.000656477,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,921,Elevate using technical
AI,0.000100059,Human,GPTZero,NA,Fake CS224N - GPT3,GPT3,529,Plain
Human,0,Human,ZeroGPT,Yes,US 8th grade essay,Human,151,NA
AI,0.999999492,AI,Sapling,NA,Fake CS224N - GPT3,GPT3,385,Plain
Human,0.239246787,Human,Sapling,Yes,Real College Essays,Human,77,NA
Human,0.027422756,Human,OriginalityAI,Yes,Real CS224N,Human,747,NA
AI,0.006119665,Human,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,695,Elevate using technical
Human,0.000177639,Human,HFOpenAI,Yes,Real CS224N,Human,793,NA
Human,2.18E-06,Human,Sapling,Yes,Real College Essays,Human,73,NA
Human,0.006266949,Human,Sapling,Yes,US 8th grade essay,Human,176,NA
AI,0.000873864,Human,Quil,NA,Fake CS224N - GPT3,GPT3,703,Plain
AI,0.002306133,Human,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,619,Plain
AI,0.00230373,Human,GPTZero,NA,US 8th grade essay - GPT simplify,GPT4,167,Simplify like non-native
AI,0.001057319,Human,GPTZero,NA,Fake CS224N - GPT3,GPT3,512,Plain
Human,3.37E-06,Human,Sapling,Yes,Real College Essays,Human,359,NA
Human,0,Human,ZeroGPT,Yes,Real CS224N,Human,749,NA
AI,0.000127814,Human,OriginalityAI,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,3,Elevate using literary
AI,0.000178158,Human,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,556,Elevate using technical
AI,0,Human,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,519,Elevate using technical
AI,0.006294452,Human,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,375,Enhance like native
AI,0.020312011,Human,Quil,NA,Fake TOEFL - GPT4 - PE,GPT4,369,Enhance like native
AI,0.000697596,Human,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,682,Elevate using technical
Human,0.000531085,Human,Crossplag,Yes,Real College Essays,Human,424,NA
Human,0.966832359,AI,Sapling,No,Real TOEFL,Human,335,NA
AI,0.84469506,AI,GPTZero,NA,US 8th grade essay - GPT simplify,GPT4,189,Simplify like non-native
Human,0,Human,ZeroGPT,Yes,US 8th grade essay,Human,125,NA
AI,0.995113432,AI,Quil,NA,Fake CS224N - GPT3,GPT3,36,Plain
Human,0.018849323,Human,HFOpenAI,Yes,Real CS224N,Human,735,NA
AI,0.000100059,Human,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,547,Enhance like native
AI,0.000100059,Human,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,303,Enhance like native
Human,0.025872057,Human,HFOpenAI,Yes,Real College Essays,Human,364,NA
AI,0.000237663,Human,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,519,Elevate using technical
Human,0.000169843,Human,HFOpenAI,Yes,US 8th grade essay,Human,141,NA
AI,0.04030722,Human,Crossplag,NA,Fake CS224N - GPT3,GPT3,604,Plain
Human,3.00E-07,Human,GPTZero,Yes,Real CS224N,Human,748,NA
Human,0.488356292,Human,Quil,No,Real TOEFL,Human,276,NA
AI,0.999405231,AI,Sapling,NA,Fake CS224N - GPT3,GPT3,620,Plain
AI,0.003451049,Human,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,698,Elevate using technical
AI,0.9999,AI,OriginalityAI,NA,US 8th grade essay - GPT simplify,GPT4,169,Simplify like non-native
AI,0.125,Human,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,468,Plain
Human,0.001082301,Human,Quil,Yes,Real College Essays,Human,46,NA
AI,0.00922157,Human,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,245,Enhance like native
AI,0,Human,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,622,Elevate using technical
AI,0.999999432,AI,Sapling,NA,Fake College Essays - GPT3,GPT3,541,Plain
AI,0.73833847,AI,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,686,Plain
AI,0.006283932,Human,GPTZero,NA,Fake CS224N - GPT3,GPT3,384,Plain
Human,0.00027483,Human,HFOpenAI,Yes,Real CS224N,Human,770,NA
AI,0.9997,AI,OriginalityAI,NA,US 8th grade essay - GPT simplify,GPT4,83,Simplify like non-native
Human,0.000198485,Human,HFOpenAI,Yes,Real CS224N,Human,767,NA
Human,0.994704068,AI,OriginalityAI,No,Real TOEFL,Human,345,NA
AI,0.000325019,Human,HFOpenAI,NA,Fake College Essays - GPT3,GPT3,221,Plain
AI,0.000168995,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,392,Elevate using technical
AI,0.000206975,Human,OriginalityAI,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,474,Elevate using literary
AI,0.999191225,AI,Quil,NA,Fake College Essays - GPT3,GPT3,315,Plain
AI,0.875,AI,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,461,Plain
AI,0.375,Human,ZeroGPT,NA,US 8th grade essay - GPT simplify,GPT4,91,Simplify like non-native
Human,0.000100059,Human,GPTZero,Yes,Real CS224N,Human,813,NA
Human,2.27E-17,Human,GPTZero,Yes,US 8th grade essay,Human,144,NA
AI,5.92E-07,Human,Sapling,NA,Fake TOEFL - GPT4 - PE,GPT4,340,Enhance like native
AI,0.999819696,AI,HFOpenAI,NA,US 8th grade essay - GPT simplify,GPT4,319,Simplify like non-native
Human,0.0012,Human,OriginalityAI,Yes,US 8th grade essay,Human,176,NA
AI,0.991210222,AI,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,471,Enhance like native
AI,5.82E-07,Human,Sapling,NA,Fake TOEFL - GPT4 - PE,GPT4,244,Enhance like native
AI,0.035380505,Human,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,514,Elevate using technical
AI,0.005417136,Human,Crossplag,NA,Fake TOEFL - GPT4 - PE,GPT4,282,Enhance like native
AI,0.375,Human,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,660,Elevate using technical
Human,0.000201086,Human,Crossplag,Yes,Real College Essays,Human,73,NA
Human,0.000180103,Human,HFOpenAI,Yes,Real College Essays,Human,917,NA
Human,0.999979913,AI,Sapling,No,Real TOEFL,Human,334,NA
AI,0.00069144,Human,Crossplag,NA,US 8th grade essay - GPT simplify,GPT4,179,Simplify like non-native
AI,0.123239718,Human,Crossplag,NA,US 8th grade essay - GPT simplify,GPT4,198,Simplify like non-native
Human,0.000170827,Human,Quil,Yes,Real College Essays,Human,281,NA
AI,0.000656477,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,668,Elevate using technical
Human,0,Human,ZeroGPT,Yes,Real CS224N,Human,830,NA
AI,0.439619958,Human,Crossplag,NA,Fake CS224N - GPT3,GPT3,676,Plain
AI,0.625,AI,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,256,Enhance like native
AI,1.47E-05,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,469,Elevate using technical
AI,0.013958506,Human,Crossplag,NA,Fake TOEFL - GPT4 - PE,GPT4,471,Enhance like native
Human,0.080346584,Human,OriginalityAI,Yes,Real CS224N,Human,745,NA
AI,0.000213802,Human,Quil,NA,Fake TOEFL - GPT4 - PE,GPT4,316,Enhance like native
AI,0.002813984,Human,Sapling,NA,US 8th grade essay - GPT simplify,GPT4,427,Simplify like non-native
AI,0.000100059,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,614,Elevate using technical
AI,0.999723136,AI,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,608,Elevate using technical
AI,6.17E-07,Human,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,502,Elevate using technical
AI,0.000656477,Human,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,282,Enhance like native
AI,0.045097969,Human,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,626,Elevate using technical
AI,0.062813342,Human,Quil,NA,Fake TOEFL - GPT4 - PE,GPT4,428,Enhance like native
AI,0.000171542,Human,Quil,NA,US 8th grade essay - GPT simplify,GPT4,235,Simplify like non-native
AI,0.031785555,Human,HFOpenAI,NA,Fake TOEFL - GPT4 - PE,GPT4,346,Enhance like native
Human,0.00019108,Human,Crossplag,Yes,Real CS224N,Human,830,NA
AI,0.000170141,Human,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,498,Elevate using technical
AI,0.000520243,Human,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,28,Plain
AI,4.89E-07,Human,Sapling,NA,Fake CS224N - GPT3,GPT3,588,Plain
Human,0.000465808,Human,Crossplag,Yes,Real CS224N,Human,839,NA
Human,3.04E-21,Human,GPTZero,Yes,Real College Essays,Human,49,NA
AI,0.983481915,AI,Sapling,NA,US 8th grade essay - GPT simplify,GPT4,43,Simplify like non-native
AI,0.005283704,Human,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,52,Enhance like native
AI,0,Human,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,611,Elevate using technical
AI,0.007682124,Human,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,353,Enhance like native
Human,0.75,AI,ZeroGPT,No,Real TOEFL,Human,214,NA
Human,5.37E-05,Human,GPTZero,No,Real TOEFL,Human,490,NA
AI,0.000100059,Human,GPTZero,NA,Fake CS224N - GPT3,GPT3,572,Plain
AI,0.072145998,Human,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,244,Enhance like native
AI,0.997426212,AI,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,663,Plain
Human,0.600453317,AI,Crossplag,No,Real TOEFL,Human,334,NA
AI,0.079445153,Human,HFOpenAI,NA,US 8th grade essay - GPT simplify,GPT4,925,Simplify like non-native
AI,0.988266408,AI,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,32,Plain
AI,0.068244696,Human,Quil,NA,Fake College Essays - GPT3,GPT3,220,Plain
AI,0.999756157,AI,HFOpenAI,NA,US 8th grade essay - GPT simplify,GPT4,406,Simplify like non-native
Human,0.988207638,AI,OriginalityAI,No,Real TOEFL,Human,276,NA
Human,3.00E-07,Human,GPTZero,Yes,Real CS224N,Human,780,NA
Human,0.999998348,AI,Sapling,No,Real TOEFL,Human,324,NA
AI,0.693314635,AI,Sapling,NA,US 8th grade essay - GPT simplify,GPT4,236,Simplify like non-native
AI,1,AI,ZeroGPT,NA,Fake College Essays - GPT3,GPT3,893,Plain
Human,0.25,Human,ZeroGPT,Yes,US 8th grade essay,Human,101,NA
AI,0.985266447,AI,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,687,Plain
Human,0,Human,ZeroGPT,Yes,Real CS224N,Human,806,NA
Human,0.000203617,Human,HFOpenAI,Yes,US 8th grade essay,Human,472,NA
Human,0.000324726,Human,Quil,Yes,US 8th grade essay,Human,210,NA
AI,0.000488999,Human,HFOpenAI,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,2,Elevate using literary
AI,0.850090697,AI,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,451,Enhance like native
AI,0,Human,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,533,Plain
AI,0,Human,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,644,Elevate using technical
AI,6.48E-07,Human,Sapling,NA,US 8th grade essay - GPT simplify,GPT4,154,Simplify like non-native
AI,0.000167999,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,523,Elevate using technical
AI,0.067736655,Human,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,726,Elevate using technical
Human,0.003292735,Human,OriginalityAI,Yes,Real CS224N,Human,765,NA
Human,1.47E-30,Human,GPTZero,Yes,Real College Essays,Human,289,NA
AI,0.999573576,AI,Sapling,NA,Fake TOEFL - GPT4 - PE,GPT4,321,Enhance like native
AI,0.25,Human,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,712,Elevate using technical
Human,0.879016995,AI,Quil,No,Real TOEFL,Human,352,NA
AI,0,Human,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,437,Elevate using technical
AI,0.999999569,AI,Sapling,NA,Fake College Essays - GPT3,GPT3,211,Plain
